LuxGeometry 2022.09.23
Welcome LuxGeometry 2022.03.03
GridTriangleMap::Construct prepare time = 0.112298
GridTriangleMap::Construct time = 0.134166
CheckSelfIntersection time: prepare = 0.142818
 intersect fid=39038, start(46124 1 -1 -1), end(46124 0.999981 -1 1.9e-05)
 intersect fid=39134, start(46339 0.999944 -1 5.6e-05), end(46339 0.999942 -1 5.8e-05)
 intersect fid=39152, start(46319 1 -1 -1), end(46319 0.999987 -1 1.3e-05)
 intersect fid=39160, start(46319 0.999987 -1 1.3e-05), end(46319 0.999987 -1 1.3e-05)
 intersect fid=39294, start(46124 1 -1 -1), end(46124 0.999981 -1 1.9e-05)
 intersect fid=39321, start(43916 1 -1 -1), end(43916 0.99867 -1 0.00133)
 intersect fid=39427, start(46319 1 -1 -1), end(46319 0.999987 -1 1.3e-05)
 intersect fid=39579, start(46835 -1 1 -1), end(46835 5.6e-05 0.999944 -1)
 intersect fid=39586, start(46835 -1 1 -1), end(46835 5.6e-05 0.999944 -1)
 intersect fid=47846, start(50497 1 -1 -1), end(50497 0.982509 0.017491 -1)
 intersect fid=38515, start(45163 4.8e-05 -1 0.999952), end(45163 4.7e-05 -1 0.999953)
 intersect fid=38516, start(45163 -1 -1 1), end(45163 4.7e-05 -1 0.999953)
 intersect fid=39865, start(46873 9e-06 0.999991 -1), end(46873 3.9e-05 0.999961 -1)
 intersect fid=38543, start(46427 1 -1 -1), end(46427 0.999878 -1 0.000122)
 intersect fid=47874, start(50497 1 -1 -1), end(50497 0.982509 0.017491 -1)
 intersect fid=38598, start(46386 1 -1 -1), end(46386 0.99984 -1 0.00016)
 intersect fid=38601, start(46381 0.999959 -1 4.1e-05), end(46381 0.999936 -1 6.4e-05)
 intersect fid=40022, start(43790 -1 1 -1), end(43790 5.8e-05 0.999942 -1)
 intersect fid=38742, start(43833 -1 1 -1), end(43833 0.000256 0.999744 -1)
 intersect fid=38767, start(43840 -1 1 -1), end(43840 0.000167 0.999833 -1)
 intersect fid=38810, start(46381 1 -1 -1), end(46381 0.999959 -1 4.1e-05)
 intersect fid=40408, start(43916 1 -1 -1), end(43916 0.99867 -1 0.00133)
 intersect fid=40471, start(43893 1 -1 -1), end(43893 0.999972 -1 2.8e-05)
 intersect fid=40497, start(43879 1 -1 -1), end(43879 0.999954 -1 4.6e-05)
 intersect fid=48358, start(50729 -1 1 -1), end(50729 -1 0.956953 0.043047)
 intersect fid=40524, start(43903 1 -1 -1), end(43903 0.999956 -1 4.4e-05)
 intersect fid=48372, start(50729 -1 1 -1), end(50729 -1 0.956953 0.043047)
 intersect fid=40645, start(43939 -1 1 -1), end(43939 -1 0.714286 0.285714)
 intersect fid=40645, start(49550 1 -1 -1), end(49550 0.99957 -1 0.00043)
 intersect fid=40653, start(43939 -1 -1 1), end(43939 -1 0.714286 0.285714)
 intersect fid=40653, start(49550 0.999054 -1 0.000946), end(49550 0.99957 -1 0.00043)
 intersect fid=40721, start(46353 0.999959 -1 4.1e-05), end(46353 0.999959 -1 4.1e-05)
 intersect fid=40750, start(43710 -1 1 -1), end(43710 2.3e-05 0.999977 -1)
 intersect fid=40826, start(46329 0.999999 -1 1e-06), end(46329 0.999999 -1 1e-06)
 intersect fid=40827, start(46329 0.999999 -1 1e-06), end(46329 1 -1 -1)
 intersect fid=40829, start(43768 1 -1 -1), end(43768 0.999945 -1 5.5e-05)
 intersect fid=48742, start(51796 -1 1 -1), end(51796 -1 0.830023 0.169977)
 intersect fid=48745, start(51796 -1 1 -1), end(51796 -1 0.830023 0.169977)
 intersect fid=48752, start(50074 -1 0.093033 0.906967), end(50074 -1 0.044508 0.955492)
 intersect fid=48764, start(50074 -1 -1 1), end(50074 -1 0.093033 0.906967)
 intersect fid=48765, start(50074 -1 -1 1), end(50074 -1 0.044508 0.955492)
 intersect fid=40947, start(43913 1 -1 -1), end(43913 0.999996 -1 4e-06)
 intersect fid=40948, start(43913 1 -1 -1), end(43913 0.999996 -1 4e-06)
 intersect fid=40952, start(43898 1 -1 -1), end(43898 0.999967 -1 3.3e-05)
 intersect fid=40953, start(43903 1 -1 -1), end(43903 0.999956 -1 4.4e-05)
 intersect fid=40954, start(43898 1 -1 -1), end(43898 0.999967 -1 3.3e-05)
 intersect fid=40992, start(43825 0.999975 -1 2.5e-05), end(43825 0.999974 -1 2.6e-05)
 intersect fid=40998, start(43884 1 -1 -1), end(43884 0.999949 -1 5.1e-05)
 intersect fid=41000, start(43893 1 -1 -1), end(43893 0.999972 -1 2.8e-05)
 intersect fid=41001, start(43884 1 -1 -1), end(43884 0.999949 -1 5.1e-05)
 intersect fid=41019, start(46905 -1 1 -1), end(46905 3.5e-05 0.999965 -1)
 intersect fid=41062, start(43888 1 -1 -1), end(43888 0.999909 -1 9.1e-05)
