[2022-01-12 14:08:53,269][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:10:03,125][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:24:06,160][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:34:32,023][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:36:30,104][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:36:48,192][main.py 246][INFO]: 存在时长0:00:10
[2022-01-12 14:38:56,192][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:39:04,174][main.py 242][INFO]: 控件出现2022-01-12 14:39:04.174229
[2022-01-12 14:39:13,982][main.py 245][INFO]: 控件消失2022-01-12 14:39:13.982604
[2022-01-12 14:39:13,982][main.py 248][INFO]: 存在时长0:00:09
[2022-01-12 14:45:40,064][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:45:47,919][main.py 242][INFO]: 控件出现2022-01-12 14:45:47.919927
[2022-01-12 14:45:57,855][main.py 245][INFO]: 控件消失2022-01-12 14:45:57.855057
[2022-01-12 14:45:57,855][main.py 248][INFO]: 存在时长0:00:10
[2022-01-12 14:45:57,855][slice_frame.py 61][INFO]: 切片成功，跳转进入上传页
[2022-01-12 14:47:25,119][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:47:32,620][main.py 242][INFO]: 控件出现2022-01-12 14:47:32.620153
[2022-01-12 14:48:07,527][main_page.py 238][INFO]: 进入切片页
[2022-01-12 14:48:15,387][main.py 242][INFO]: 控件出现2022-01-12 14:48:15.387524
[2022-01-12 14:48:25,779][main.py 245][INFO]: 控件消失2022-01-12 14:48:25.779782
[2022-01-12 14:48:25,779][main.py 248][INFO]: 存在时长0:00:10
[2022-01-12 14:48:25,779][slice_frame.py 61][INFO]: 切片成功，跳转进入上传页
